,combination,train_accuracy,test_accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
0,1,0.6227449310840296,0.6313324819071946,0.1,0.001,3,1,10
1,2,0.6306742589537545,0.6383567475521499,0.1,0.001,3,1,50
2,3,0.6381246341333617,0.6453810131971052,0.1,0.001,3,1,100
3,4,0.6216539832898728,0.6303746275010643,0.1,0.001,3,10,10
4,5,0.6304347826086957,0.6380374627501064,0.1,0.001,3,10,50
5,6,0.63780533233995,0.644955300127714,0.1,0.001,3,10,100
6,7,0.6187536586663829,0.6276074925500212,0.1,0.001,3,100,10
7,8,0.6242083976371667,0.6322903363133249,0.1,0.001,3,100,50
8,9,0.632935979990421,0.640485312899106,0.1,0.001,3,100,100
9,10,0.6304879995742643,0.6370796083439761,0.1,0.001,5,1,10
10,11,0.63934862434144,0.6458067262664964,0.1,0.001,5,1,50
11,12,0.648395508488106,0.6527245636441039,0.1,0.001,5,1,100
12,13,0.6287318397104997,0.6359088974031503,0.1,0.001,5,10,10
13,14,0.6375126390293225,0.6441038739889314,0.1,0.001,5,10,50
14,15,0.6463998722792826,0.6519795657726692,0.1,0.001,5,10,100
15,16,0.6189931350114416,0.6276074925500212,0.1,0.001,5,100,10
16,17,0.6264435101910489,0.6346317581949766,0.1,0.001,5,100,50
17,18,0.6355968282688521,0.6428267347807578,0.1,0.001,5,100,100
18,19,0.638576978340695,0.6403788846317582,0.1,0.001,8,1,10
19,20,0.6514022670427332,0.6512345679012346,0.1,0.001,8,1,50
20,21,0.6617795753286148,0.6597488292890592,0.1,0.001,8,1,100
21,22,0.630807301367676,0.6379310344827587,0.1,0.001,8,10,10
22,23,0.640279921238891,0.6452745849297573,0.1,0.001,8,10,50
23,24,0.6501516683518705,0.6537888463175819,0.1,0.001,8,10,100
24,25,0.6190463519770103,0.6276074925500212,0.1,0.001,8,100,10
25,26,0.6269490713639508,0.6347381864623244,0.1,0.001,8,100,50
26,27,0.6358895215794795,0.6430395913154534,0.1,0.001,8,100,100
27,28,0.6448831887605768,0.6414431673052363,0.1,0.001,10,1,10
28,29,0.6576020435314779,0.6524052788420605,0.1,0.001,10,1,50
29,30,0.669229950508222,0.6616645381013198,0.1,0.001,10,1,100
30,31,0.6307540844021073,0.6379310344827587,0.1,0.001,10,10,10
31,32,0.6406790484806556,0.6455938697318008,0.1,0.001,10,10,50
32,33,0.6506306210419882,0.6541081311196254,0.1,0.001,10,10,100
33,34,0.6190463519770103,0.6276074925500212,0.1,0.001,10,100,10
34,35,0.6269490713639508,0.6348446147296722,0.1,0.001,10,100,50
35,36,0.6358895215794795,0.6430395913154534,0.1,0.001,10,100,100
36,37,0.6240221382576765,0.632183908045977,0.1,0.01,3,1,10
37,38,0.6380980256505774,0.6446360153256705,0.1,0.01,3,1,50
38,39,0.6626044382949284,0.6648573861217539,0.1,0.01,3,1,100
39,40,0.62311744984301,0.6310131971051511,0.1,0.01,3,10,10
40,41,0.6379117662710873,0.6452745849297573,0.1,0.01,3,10,50
41,42,0.6615667074663403,0.6645381013197105,0.1,0.01,3,10,100
42,43,0.6188068756319515,0.6275010642826735,0.1,0.01,3,100,10
43,44,0.6318982491618328,0.6397403150276714,0.1,0.01,3,100,50
44,45,0.6540365068383801,0.6574074074074074,0.1,0.01,3,100,100
45,46,0.6315257304028524,0.6383567475521499,0.1,0.01,5,1,10
46,47,0.6502314938002235,0.6538952745849298,0.1,0.01,5,1,50
47,48,0.6816561119684955,0.6815666240953597,0.1,0.01,5,1,100
48,49,0.6297695705390879,0.6369731800766284,0.1,0.01,5,10,10
49,50,0.6473045606939493,0.6522988505747126,0.1,0.01,5,10,50
50,51,0.6770528444468097,0.6787994891443168,0.1,0.01,5,10,100
51,52,0.6191261774253632,0.6277139208173691,0.1,0.01,5,100,10
52,53,0.635330743441009,0.6425074499787143,0.1,0.01,5,100,50
53,54,0.6569634399446543,0.6601745423584504,0.1,0.01,5,100,100
54,55,0.6401734873077537,0.6417624521072797,0.1,0.01,8,1,10
55,56,0.6654249374700655,0.6613452532992763,0.1,0.01,8,1,50
56,57,0.7045127986802192,0.6915708812260536,0.1,0.01,8,1,100
57,58,0.6317918152306955,0.6381438910174543,0.1,0.01,8,10,10
58,59,0.651295833111596,0.6546402724563644,0.1,0.01,8,10,50
59,60,0.6845298281092013,0.683588761174968,0.1,0.01,8,10,100
60,61,0.6192326113565004,0.6277139208173691,0.1,0.01,8,100,10
61,62,0.6355436113032835,0.64272030651341,0.1,0.01,8,100,50
62,63,0.657442392634772,0.6607066836951895,0.1,0.01,8,100,100
63,64,0.6467457825554787,0.6422945934440187,0.1,0.01,10,1,10
64,65,0.6759352881698686,0.663154533844189,0.1,0.01,10,1,50
65,66,0.7190410302804534,0.6938058748403576,0.1,0.01,10,1,100
66,67,0.6319248576446171,0.6384631758194976,0.1,0.01,10,10,10
67,68,0.651721568836145,0.6546402724563644,0.1,0.01,10,10,50
68,69,0.6854345165238678,0.6839080459770115,0.1,0.01,10,10,100
69,70,0.6192326113565004,0.6277139208173691,0.1,0.01,10,100,10
70,71,0.6355436113032835,0.64272030651341,0.1,0.01,10,100,50
71,72,0.657442392634772,0.6607066836951895,0.1,0.01,10,100,100
72,73,0.6331754563354798,0.6388888888888888,0.1,0.1,3,1,10
73,74,0.9084136022563993,0.907088122605364,0.1,0.1,3,1,50
74,75,0.9929221435793731,0.9940400170285227,0.1,0.1,3,1,100
75,76,0.632935979990421,0.6385696040868455,0.1,0.1,3,10,10
76,77,0.9064711830131446,0.9061302681992337,0.1,0.1,3,10,50
77,78,0.99265605875153,0.9935078756917838,0.1,0.1,3,10,100
78,79,0.6227449310840296,0.6308003405704555,0.1,0.1,3,100,10
79,80,0.8939385876217338,0.8934653043848446,0.1,0.1,3,100,50
80,81,0.988638177851099,0.9910600255427842,0.1,0.1,3,100,100
81,82,0.643100420414028,0.6448488718603661,0.1,0.1,5,1,10
82,83,0.9132563461231441,0.9071945508727118,0.1,0.1,5,1,50
83,84,0.9936937895801181,0.9929757343550447,0.1,0.1,5,1,100
